CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)
FAM176B	EVA1B	EVA1B	EVA1B	EVA1B	0.61069922	82.24805735
STK40	STK40	STK40	STK40	STK40	-0.908865594	10.54755738
LSM10	LSM10	LSM10	LSM10	LSM10	-0.153141433	39.75664117
OSCP1	OSCP1	OSCP1	OSCP1	OSCP1	-0.482887308	22.44443106
MRPS15	MRPS15	MRPS15	MRPS15	MRPS15	0.29453085	68.92355882
CSF3R	CSF3R	CSF3R	CSF3R	CSF3R	0.693780298	84.71778809
GRIK3	GRIK3	GRIK3	GRIK3	GRIK3	-1.875477144	2.301066201
ZC3H12A	ZC3H12A	ZC3H12A	ZC3H12A	ZC3H12A	0.301863673	69.32714897
MEAF6	MEAF6	MEAF6	MEAF6	MEAF6	-0.259984232	33.53412445
SNIP1	SNIP1	SNIP1	SNIP1	SNIP1	0.528520969	79.4891874
DNALI1	DNALI1	DNALI1	DNALI1	DNALI1	-0.482105931	22.46852599
GNL2	GNL2	GNL2	GNL2	GNL2	-0.504138246	21.56496597
C1orf109	C1orf109	C1orf109	C1orf109	C1orf109	0.130520552	59.56870068
CDCA8	CDCA8	CDCA8	CDCA8	CDCA8	-0.035054153	47.78627794
EPHA10	EPHA10	EPHA10	EPHA10	EPHA10	1.215235768	93.89193422
MANEAL	MANEAL	MANEAL	MANEAL	MANEAL	-0.041148446	47.32245045
SF3A3	SF3A3	SF3A3	SF3A3	SF3A3	-0.575360488	19.2337811
UTP11L	UTP11L	UTP11L	UTP11L	UTP11L	-0.109562537	42.53960605
RRAGC	RRAGC	RRAGC	RRAGC	RRAGC	-0.252486589	33.99795193
MYCBP	MYCBP	MYCBP	MYCBP	MYCBP	0.355616049	71.96554424
GJA9	GJA9	GJA9	GJA9	GJA9	0.081467411	56.04481658
AKIRIN1	AKIRIN1	AKIRIN1	AKIRIN1	AKIRIN1	-0.132053744	41.12402867
NDUFS5	NDUFS5	NDUFS5	NDUFS5	NDUFS5	-0.062074996	46.05144268
MACF1	MACF1	MACF1	MACF1	MACF1	-4.085201978	0.246973074
PABPC4	PABPC4	PABPC4	PABPC4	PABPC4	-1.779673267	2.614300343
HEYL	HEYL	HEYL	HEYL	HEYL	0.50899845	78.69405458
NT5C1A	NT5C1A	NT5C1A	NT5C1A	NT5C1A	-0.396350797	26.47430878
HPCAL4	HPCAL4	HPCAL4	HPCAL4	HPCAL4	-0.202814005	36.71465574
PPIE	PPIE	PPIE	PPIE	PPIE	0.071787024	55.35811096
BMP8B	BMP8B	BMP8B	BMP8B	BMP8B	1.058394703	91.86193603
MFSD2A	MFSD2A	MFSD2A	MFSD2A	MFSD2A	-0.512253979	21.19751822
PPT1	PPT1	PPT1	PPT1	PPT1	-0.374481685	27.55858081
RLF	RLF	RLF	RLF	RLF	-0.472154274	22.8660924
ZMPSTE24	ZMPSTE24	ZMPSTE24	ZMPSTE24	ZMPSTE24	-0.870437067	11.31257153
COL9A2	COL9A2	COL9A2	COL9A2	COL9A2	1.416438274	95.71712547
SMAP2	SMAP2	SMAP2	SMAP2	SMAP2	-0.547555548	20.08312752
ZNF643	ZFP69B	ZFP69B	ZFP69B	ZFP69B	0.894200008	89.13318475
DEM1	EXO5	EXO5	EXO5	EXO5	0.128955746	59.43015481
ZNF684	ZNF684	ZNF684	ZNF684	ZNF684	0.104119612	57.62303476
NFYC	NFYC	NFYC	NFYC	NFYC	-0.24498911	34.40154208
KCNQ4	KCNQ4	KCNQ4	KCNQ4	KCNQ4	0.146132543	60.50840311
CTPS1	CTPS1	CTPS1	CTPS1	CTPS1	-0.688297251	15.86049033
SLFNL1	SLFNL1	SLFNL1	SLFNL1	SLFNL1	0.698466301	84.88645262
SCMH1	SCMH1	SCMH1	SCMH1	SCMH1	-0.035997922	47.73206433
EDN2	EDN2	EDN2	EDN2	EDN2	0.798767862	87.26582736
HIVEP3	HIVEP3	HIVEP3	HIVEP3	HIVEP3	0.715684558	85.3683513
GUCA2B	GUCA2B	GUCA2B	GUCA2B	GUCA2B	0.147860654	60.62285404
GUCA2A	GUCA2A	GUCA2A	GUCA2A	GUCA2A	0.539934389	79.86868261
RIMKLA	RIMKLA	RIMKLA	RIMKLA	RIMKLA	-0.006469668	49.88856093
ZMYND12	ZMYND12	ZMYND12	ZMYND12	ZMYND12	0.244075535	66.18276007
PPIH	PPIH	PPIH	PPIH	PPIH	-0.086911311	44.2925125
YBX1	YBX1	YBX1	YBX1	YBX1	-0.214841504	36.10625866
CLDN19	CLDN19	CLDN19	CLDN19	CLDN19	0.18925473	63.17089332
LEPRE1	LEPRE1	LEPRE1	LEPRE1	LEPRE1	0.071463181	55.28582616
C1orf50	C1orf50	C1orf50	C1orf50	C1orf50	0.226118052	65.14065418
CCDC23	CCDC23	CCDC23	CCDC23	CCDC23	0.054610377	54.20155412
ERMAP	ERMAP	ERMAP	ERMAP	ERMAP	1.268963252	94.42202277
ZNF691	ZNF691	ZNF691	ZNF691	ZNF691	-0.406815543	25.87795916
SLC2A1	SLC2A1	SLC2A1	SLC2A1	SLC2A1	-0.915582298	10.40901151
EBNA1BP2	EBNA1BP2	EBNA1BP2	EBNA1BP2	EBNA1BP2	-0.035836126	47.762183
WDR65	WDR65	WDR65	WDR65	WDR65	0.378557434	73.04981628
TMEM125	TMEM125	TMEM125	TMEM125	TMEM125	1.190086179	93.63291368
C1orf210	C1orf210	C1orf210	C1orf210	C1orf210	0.28407002	68.3452804
TIE1	TIE1	TIE1	TIE1	TIE1	-1.52944459	3.764833444
MPL	MPL	MPL	MPL	MPL	0.533669602	79.66387567
CDC20	CDC20	CDC20	CDC20	CDC20	-0.858408847	11.58966327
ELOVL1	ELOVL1	ELOVL1	ELOVL1	ELOVL1	-0.108780779	42.57574845
MED8	MED8	MED8	MED8	MED8	0.03117561	52.58116981
HYI	HYI	HYI	HYI	HYI	0.315619334	70.00180712
PTPRF	PTPRF	PTPRF	PTPRF	PTPRF	-3.828797591	0.34335281
KDM4A	KDM4A	KDM4A	KDM4A	KDM4A	-0.355901769	28.37780857
ST3GAL3	ST3GAL3	ST3GAL3	ST3GAL3	ST3GAL3	-0.375263119	27.51039094
IPO13	IPO13	IPO13	IPO13	IPO13	-1.286760509	5.535811096
DPH2	DPH2	DPH2	DPH2	DPH2	-0.087854083	44.19613276
ATP6V0B	ATP6V0B	ATP6V0B	ATP6V0B	ATP6V0B	-0.301378207	31.17884465
B4GALT2	B4GALT2	B4GALT2	B4GALT2	B4GALT2	-0.396350797	26.47430878
CCDC24	CCDC24	CCDC24	CCDC24	CCDC24	0.29749618	69.10427083
KLF17	KLF17	KLF17	KLF17	KLF17	0.25453764	66.68272996
DMAP1	DMAP1	DMAP1	DMAP1	DMAP1	-0.429465889	24.83585326
RNF220	RNF220	RNF220	RNF220	RNF220	-0.859190262	11.56556834
TMEM53	TMEM53	TMEM53	TMEM53	TMEM53	0.04242045	53.39437383
KIF2C	KIF2C	KIF2C	KIF2C	KIF2C	-0.784059069	13.21004759
RPS8	RPS8	RPS8	RPS8	RPS8	-0.317935806	30.34154569
BEST4	BEST4	BEST4	BEST4	BEST4	-0.269825348	32.9317511
PLK3	PLK3	PLK3	PLK3	PLK3	-0.551463723	19.95662912
PTCH2	PTCH2	PTCH2	PTCH2	PTCH2	-0.438251422	24.37804952
EIF2B3	EIF2B3	EIF2B3	EIF2B3	EIF2B3	0.420895505	75.01957713
UROD	UROD	UROD	UROD	UROD	-0.028339433	48.25010542
HPDL	HPDL	HPDL	HPDL	HPDL	-0.094568847	43.75037648
MUTYH	MUTYH	MUTYH	MUTYH	MUTYH	0.057251574	54.37021866
TOE1	TOE1	TOE1	TOE1	TOE1	0.356848466	72.01975785
PRDX1	PRDX1	PRDX1	PRDX1	PRDX1	-0.418062291	25.25751461
AKR1A1	AKR1A1	AKR1A1	AKR1A1	AKR1A1	0.136452141	59.92410096
NASP	NASP	NASP	NASP	NASP	-0.346057895	28.88982591
GPBP1L1	GPBP1L1	GPBP1L1	GPBP1L1	GPBP1L1	-0.084105757	44.47924824
PIK3R3	PIK3R3	PIK3R3	PIK3R3	PIK3R3	-0.248115401	34.26299621
TSPAN1	TSPAN1	TSPAN1	TSPAN1	TSPAN1	0.282504056	68.24287694
POMGNT1	POMGNT1	POMGNT1	POMGNT1	POMGNT1	-0.471805657	22.87211614
RAD54L	RAD54L	RAD54L	RAD54L	RAD54L	-0.084268135	44.4551533
LRRC41	LRRC41	LRRC41	LRRC41	LRRC41	-1.038369064	8.457321848
NSUN4	NSUN4	NSUN4	NSUN4	NSUN4	0.206430002	64.16480935
FAAH	FAAH	FAAH	FAAH	FAAH	-0.529593417	20.546955
DMBX1	DMBX1	DMBX1	DMBX1	DMBX1	0.469785863	76.97729052
MKNK1	MKNK1	MKNK1	MKNK1	MKNK1	-0.132213829	41.09993374
MOB3C	MOB3C	MOB3C	MOB3C	MOB3C	0.137234463	59.97229083
ATPAF1	ATPAF1	ATPAF1	ATPAF1	ATPAF1	-0.001157228	50.32226974
CYP4B1	CYP4B1	CYP4B1	CYP4B1	CYP4B1	2.256430497	98.87958557
CYP4A11	CYP4A11	CYP4A11	CYP4A11	CYP4A11	0.806094303	87.42846816
CYP4X1	CYP4X1	CYP4X1	CYP4X1	CYP4X1	0.106303419	57.76760436
CYP4Z1	CYP4Z1	CYP4Z1	CYP4Z1	CYP4Z1	0.936380071	89.92229384
PDZK1IP1	PDZK1IP1	PDZK1IP1	PDZK1IP1	PDZK1IP1	0.551960945	80.24817782
TAL1	TAL1	TAL1	TAL1	TAL1	0.212525692	64.45394856
STIL	STIL	STIL	STIL	STIL	-0.109268378	42.55165351
CMPK1	CMPK1	CMPK1	CMPK1	CMPK1	0.214874169	64.56839949
SPATA6	SPATA6	SPATA6	SPATA6	SPATA6	-0.170640741	38.58201313
BEND5	BEND5	BEND5	BEND5	BEND5	-0.575360488	19.2337811
ELAVL4	ELAVL4	ELAVL4	ELAVL4	ELAVL4	-0.212655616	36.19661466
FAF1	FAF1	FAF1	FAF1	FAF1	-0.82982243	12.15589422
CDKN2C	CDKN2C	CDKN2C	CDKN2C	CDKN2C	-0.025211478	48.58141076
RNF11	RNF11	RNF11	RNF11	RNF11	-0.082381054	44.61177038
EPS15	EPS15	EPS15	EPS15	EPS15	-0.100825554	43.25643034
OSBPL9	OSBPL9	OSBPL9	OSBPL9	OSBPL9	-0.291072786	31.66074333
NRD1	NRD1	NRD1	NRD1	NRD1	-1.595491306	3.385338233
RAB3B	RAB3B	RAB3B	RAB3B	RAB3B	-0.183289318	37.85314138
TXNDC12	TXNDC12	TXNDC12	TXNDC12	TXNDC12	0.131303055	59.62291428
KTI12	KTI12	KTI12	KTI12	KTI12	0.411834041	74.61598699
ZFYVE9	ZFYVE9	ZFYVE9	ZFYVE9	ZFYVE9	0.282023743	68.2007108
ORC1	ORC1	ORC1	ORC1	ORC1	-0.251408606	34.03409433
PRPF38A	PRPF38A	PRPF38A	PRPF38A	PRPF38A	-0.414313318	25.46834528
GPX7	GPX7	GPX7	GPX7	GPX7	0.382633489	73.23052828
SELRC1	SELRC1	SELRC1	SELRC1	SELRC1	0.122241789	58.90608999
ECHDC2	ECHDC2	ECHDC2	ECHDC2	ECHDC2	0.194403121	63.5443648
SCP2	SCP2	SCP2	SCP2	SCP2	-0.792175755	13.05343052
PODN	PODN	PODN	PODN	PODN	0.189710332	63.17691705
SLC1A7	SLC1A7	SLC1A7	SLC1A7	SLC1A7	0.679563833	84.30215047
CPT2	CPT2	CPT2	CPT2	CPT2	0.477902845	77.30257213
C1orf123	C1orf123	C1orf123	C1orf123	C1orf123	-0.257016585	33.68471779
MAGOH	MAGOH	MAGOH	MAGOH	MAGOH	0.004937353	50.72585989
LRP8	LRP8	LRP8	LRP8	LRP8	-0.602702564	18.3001024
DMRTB1	DMRTB1	DMRTB1	DMRTB1	DMRTB1	0.307340506	69.58616951
GLIS1	GLIS1	GLIS1	GLIS1	GLIS1	0.547101128	80.10360822
TMEM48	TMEM48	NDC1	NDC1	NDC1	-0.662838258	16.43876875
YIPF1	YIPF1	YIPF1	YIPF1	YIPF1	0.174097518	62.25528583
LRRC42	LRRC42	LRRC42	LRRC42	LRRC42	-0.182667778	37.86518884
TMEM59	TMEM59	TMEM59	TMEM59	TMEM59	-0.138928876	40.70236733
TCEANC2	TCEANC2	TCEANC2	TCEANC2	TCEANC2	-0.038802534	47.52123366
CDCP2	CDCP2	CDCP2	CDCP2	CDCP2	0.73986149	85.87434492
MRPL37	MRPL37	MRPL37	MRPL37	MRPL37	-0.603321593	18.29407867
SSBP3	SSBP3	SSBP3	SSBP3	SSBP3	-0.224682963	35.57014638
ACOT11	ACOT11	ACOT11	ACOT11	ACOT11	0.875920405	88.88621167
FAM151A	FAM151A	FAM151A	FAM151A	FAM151A	1.532987445	96.36768869
TTC4	TTC4	TTC4	TTC4	TTC4	0.144730842	60.41804711
PARS2	PARS2	PARS2	PARS2	PARS2	-0.335432808	29.46810433
C1orf177	C1orf177	C1orf177	C1orf177	C1orf177	0.947624155	90.12710078
DHCR24	DHCR24	DHCR24	DHCR24	DHCR24	-0.759840753	13.81242094
TMEM61	TMEM61	TMEM61	TMEM61	TMEM61	0.484161624	77.57364014
BSND	BSND	BSND	BSND	BSND	0.539765009	79.85663514
PCSK9	PCSK9	PCSK9	PCSK9	PCSK9	2.004220342	98.23504608
PPAP2B	PPAP2B	PPAP2B	PPAP2B	PPAP2B	-0.365421659	27.95012349
PRKAA2	PRKAA2	PRKAA2	PRKAA2	PRKAA2	-0.556615525	19.75784591
C8A	C8A	C8A	C8A	C8A	0.877480934	88.94644901
DAB1	DAB1	DAB1	DAB1	DAB1	-0.261706291	33.37148365
OMA1	OMA1	OMA1	OMA1	OMA1	0.777508485	86.75983374
TACSTD2	TACSTD2	TACSTD2	TACSTD2	TACSTD2	0.220021837	64.80934883
JUN	JUN	JUN	JUN	JUN	-0.360891704	28.16095416
FGGY	FGGY	FGGY	FGGY	FGGY	0.861703448	88.585025
HOOK1	HOOK1	HOOK1	HOOK1	HOOK1	-0.917926796	10.3728691
CYP2J2	CYP2J2	CYP2J2	CYP2J2	CYP2J2	0.554757864	80.35660502
C1orf87	C1orf87	C1orf87	C1orf87	C1orf87	1.089776079	92.24745497
NFIA	NFIA	NFIA	NFIA	NFIA	-0.630344541	17.37244744
INADL	INADL	INADL	INADL	INADL	1.769732447	97.50015059
KANK4	KANK4	KANK4	KANK4	KANK4	0.929981409	89.76567677
USP1	USP1	USP1	USP1	USP1	-0.543967248	20.14938859
ANGPTL3	ANGPTL3	ANGPTL3	ANGPTL3	ANGPTL3	0.171750672	62.05047889
ATG4C	ATG4C	ATG4C	ATG4C	ATG4C	0.452445652	76.31467984
PGM1	PGM1	PGM1	PGM1	PGM1	0.081305649	56.02072164
ROR1	ROR1	ROR1	ROR1	ROR1	-0.994006516	9.071742666
UBE2U	UBE2U	UBE2U	UBE2U	UBE2U	0.258450477	66.9056081
CACHD1	CACHD1	CACHD1	CACHD1	CACHD1	-0.38325925	27.08270586
AK4	AK4	AK4	AK4	AK4	-0.028959884	48.20793928
LEPROT	LEPROT	LEPROT	LEPROT	LEPROT	-0.053796221	46.53334136
LEPR	LEPR	LEPR	LEPR	LEPR	-0.845935756	11.81856515
PDE4B	PDE4B	PDE4B	PDE4B	PDE4B	-1.088829383	7.818806096
TCTEX1D1	TCTEX1D1	TCTEX1D1	TCTEX1D1	TCTEX1D1	0.147078089	60.58068791
INSL5	INSL5	INSL5	INSL5	INSL5	0.66333706	83.77808566
WDR78	WDR78	WDR78	WDR78	WDR78	0.179086448	62.5564725
SLC35D1	SLC35D1	SLC35D1	SLC35D1	SLC35D1	-0.362454248	28.10071682
IL23R	IL23R	IL23R	IL23R	IL23R	0.262034155	67.09234383
IL12RB2	IL12RB2	IL12RB2	IL12RB2	IL12RB2	0.686281474	84.51298115
SERBP1	SERBP1	SERBP1	SERBP1	SERBP1	-0.592698972	18.69164508
GADD45A	GADD45A	GADD45A	GADD45A	GADD45A	-0.177977719	38.17239925
DIRAS3	DIRAS3	DIRAS3	DIRAS3	DIRAS3	-0.442898743	24.17926631
WLS	WLS	WLS	WLS	WLS	-0.197040906	37.10619842
RPE65	RPE65	RPE65	RPE65	RPE65	-0.390417698	26.80561412
DEPDC1	DEPDC1	DEPDC1	DEPDC1	DEPDC1	-0.705015964	15.33040178
LRRC7	LRRC7	LRRC7	LRRC7	LRRC7	-2.477957182	1.078248298
LRRC40	LRRC40	LRRC40	LRRC40	LRRC40	0.867015144	88.70549967
SRSF11	SRSF11	SRSF11	SRSF11	SRSF11	-0.798893311	12.90283718
ANKRD13C	ANKRD13C	ANKRD13C	ANKRD13C	ANKRD13C	-0.573173279	19.2879947
HHLA3	HHLA3	HHLA3	HHLA3	HHLA3	0.160670202	61.45412927
CTH	CTH	CTH	CTH	CTH	0.226735611	65.18282031
PTGER3	PTGER3	PTGER3	PTGER3	PTGER3	0.07397088	55.47858563
ZRANB2	ZRANB2	ZRANB2	ZRANB2	ZRANB2	-0.563332461	19.54701524
NEGR1	NEGR1	NEGR1	NEGR1	NEGR1	-0.378230418	27.31763147
TNNI3K	TNNI3K	TNNI3K	TNNI3K	TNNI3K	-0.239381816	34.70272875
CRYZ	CRYZ	CRYZ	CRYZ	CRYZ	0.384032162	73.31486055
TYW3	TYW3	TYW3	TYW3	TYW3	0.257667655	66.86946569
SLC44A5	SLC44A5	SLC44A5	SLC44A5	SLC44A5	-0.968385243	9.487380278
ACADM	ACADM	ACADM	ACADM	ACADM	-0.074263129	45.24426239
RABGGTB	RABGGTB	RABGGTB	RABGGTB	RABGGTB	-0.537715224	20.34214806
MSH4	MSH4	MSH4	MSH4	MSH4	-0.872951166	11.2523342
ASB17	ASB17	ASB17	ASB17	ASB17	-0.044114819	47.17788085
ST6GALNAC3	ST6GALNAC3	ST6GALNAC3	ST6GALNAC3	ST6GALNAC3	0.034141752	52.82211915
ST6GALNAC5	ST6GALNAC5	ST6GALNAC5	ST6GALNAC5	ST6GALNAC5	-0.572392179	19.31208963
PIGK	PIGK	PIGK	PIGK	PIGK	-0.69657624	15.61954099
AK5	AK5	AK5	AK5	AK5	-0.875748661	11.1981206
ZZZ3	ZZZ3	ZZZ3	ZZZ3	ZZZ3	-0.5199132	20.89030781
USP33	USP33	USP33	USP33	USP33	-0.927771339	10.1740859
FAM73A	FAM73A	FAM73A	FAM73A	FAM73A	-0.633470719	17.29413891
FUBP1	FUBP1	FUBP1	FUBP1	FUBP1	-0.944950217	9.860851756
DNAJB4	DNAJB4	DNAJB4	DNAJB4	DNAJB4	-0.332306611	29.60062647
GIPC2	GIPC2	GIPC2	GIPC2	GIPC2	0.504467324	78.4651527
PTGFR	PTGFR	PTGFR	PTGFR	PTGFR	0.140982648	60.19516897
IFI44L	IFI44L	IFI44L	IFI44L	IFI44L	1.140235565	92.99439793
IFI44	IFI44	IFI44	IFI44	IFI44	-0.212816161	36.17251973
LPHN2	LPHN2	LPHN2	LPHN2	LPHN2	-0.903293079	10.64393711
TTLL7	TTLL7	TTLL7	TTLL7	TTLL7	-0.647062772	16.8785013
PRKACB	PRKACB	PRKACB	PRKACB	PRKACB	-0.484292909	22.35407506
DNASE2B	DNASE2B	DNASE2B	DNASE2B	DNASE2B	0.256102396	66.77308596
RPF1	RPF1	RPF1	RPF1	RPF1	0.597717567	81.77820613
GNG5	GNG5	GNG5	GNG5	GNG5	0.157704898	61.2975122
CTBS	CTBS	CTBS	CTBS	CTBS	1.044797695	91.66315282
SSX2IP	SSX2IP	SSX2IP	SSX2IP	SSX2IP	-0.274515361	32.61851696
LPAR3	LPAR3	LPAR3	LPAR3	LPAR3	-0.01631243	49.17173664
MCOLN3	MCOLN3	MCOLN3	MCOLN3	MCOLN3	-0.03068551	48.11155954
WDR63	WDR63	WDR63	WDR63	WDR63	-0.764536297	13.72808867
C1orf52	C1orf52	C1orf52	C1orf52	C1orf52	-0.112529287	42.32877537
BCL10	BCL10	BCL10	BCL10	BCL10	0.217839222	64.74308777
DDAH1	DDAH1	DDAH1	DDAH1	DDAH1	0.150826215	60.86982712
CYR61	CYR61	CYR61	CYR61	CYR61	-0.482105931	22.46852599
ZNHIT6	ZNHIT6	ZNHIT6	ZNHIT6	ZNHIT6	0.189090259	63.14077465
CLCA2	CLCA2	CLCA2	CLCA2	CLCA2	-0.062561036	46.00927655
CLCA1	CLCA1	CLCA1	CLCA1	CLCA1	-0.325918437	29.89578941
SH3GLB1	SH3GLB1	SH3GLB1	SH3GLB1	SH3GLB1	-0.678457051	16.05927354
HS2ST1	HS2ST1	HS2ST1	HS2ST1	HS2ST1	-0.431651917	24.71537859
LMO4	LMO4	LMO4	LMO4	LMO4	-0.156890075	39.47352569
PKN2	PKN2	PKN2	PKN2	PKN2	-0.309194691	30.87765797
GTF2B	GTF2B	GTF2B	GTF2B	GTF2B	-0.165950321	38.89524727
RBMXL1	RBMXL1	RBMXL1	RBMXL1	RBMXL1	0.734713489	85.76591772
GBP3	GBP3	GBP3	GBP3	GBP3	1.402845363	95.59062707
GBP1	GBP1	GBP1	GBP1	GBP1	0.313890824	69.93554605
GBP2	GBP2	GBP2	GBP2	GBP2	0.083651553	56.19540992
GBP7	GBP7	GBP7	GBP7	GBP7	0.91137872	89.38015782
GBP4	GBP4	GBP4	GBP4	GBP4	1.596260757	96.81344497
GBP5	GBP5	GBP5	GBP5	GBP5	0.112235857	58.17119451
GBP6	GBP6	GBP6	GBP6	GBP6	1.245526719	94.18107343
LRRC8B	LRRC8B	LRRC8B	LRRC8B	LRRC8B	-1.186619248	6.638154328
LRRC8C	LRRC8C	LRRC8C	LRRC8C	LRRC8C	0.050536927	53.88229625
LRRC8D	LRRC8D	LRRC8D	LRRC8D	LRRC8D	-1.04586606	8.348894645
ZNF326	ZNF326	ZNF326	ZNF326	ZNF326	-0.718445538	14.98102524
BARHL2	BARHL2	BARHL2	BARHL2	BARHL2	-0.188601075	37.53990723
ZNF644	ZNF644	ZNF644	ZNF644	ZNF644	-0.277811566	32.39563882
CDC7	CDC7	CDC7	CDC7	CDC7	-0.149553084	39.96747184
BRDT	BRDT	BRDT	BRDT	BRDT	0.495866371	78.02542016
EPHX4	EPHX4	EPHX4	EPHX4	EPHX4	-0.237491784	34.78706102
BTBD8	BTBD8	BTBD8	BTBD8	BTBD8	-0.378230418	27.31763147
GLMN	GLMN	GLMN	GLMN	GLMN	0.489309218	77.76037588
RPAP2	RPAP2	RPAP2	RPAP2	RPAP2	-0.318875351	30.24516595
RPL5	RPL5	RPL5	RPL5	RPL5	-0.125338233	41.54569002
MTF2	MTF2	MTF2	MTF2	MTF2	-0.494914823	21.99867478
TMED5	TMED5	TMED5	TMED5	TMED5	-0.050829665	46.67791097
DR1	DR1	DR1	DR1	DR1	0.132085628	59.67712788
BCAR3	BCAR3	BCAR3	BCAR3	BCAR3	1.093374834	92.26552617
GCLM	GCLM	GCLM	GCLM	GCLM	-0.227650294	35.32919704
ABCA4	ABCA4	ABCA4	ABCA4	ABCA4	2.462533784	99.06632131
ARHGAP29	ARHGAP29	ARHGAP29	ARHGAP29	ARHGAP29	-0.318422866	30.28130835
ABCD3	ABCD3	ABCD3	ABCD3	ABCD3	-0.657525589	16.59538582
F3	F3	F3	F3	F3	0.270477266	67.58026625
SLC44A3	SLC44A3	SLC44A3	SLC44A3	SLC44A3	0.858735948	88.54285886
ALG14	ALG14	ALG14	ALG14	ALG14	0.167383744	61.73724474
TMEM56	TMEM56	TMEM56	TMEM56	TMEM56	-0.331525455	29.67291127
PTBP2	PTBP2	PTBP2	PTBP2	PTBP2	-0.827480078	12.23420276
SNX7	SNX7	SNX7	SNX7	SNX7	-0.197661471	37.08812722
LPPR4	LPPR4	LPPR4	LPPR4	LPPR4	-1.081950907	7.951328233
PALMD	PALMD	PALMD	PALMD	PALMD	0.051318972	53.92446238
AGL	AGL	AGL	AGL	AGL	-0.13287332	41.0216252
SLC35A3	SLC35A3	SLC35A3	SLC35A3	SLC35A3	-0.273574099	32.70887296
HIAT1	HIAT1	HIAT1	HIAT1	HIAT1	-0.777805434	13.34859346
SASS6	SASS6	SASS6	SASS6	SASS6	-0.558960442	19.64339498
TRMT13	TRMT13	TRMT13	TRMT13	TRMT13	-0.627376825	17.45677971
LRRC39	LRRC39	LRRC39	LRRC39	LRRC39	0.372005324	72.75465333
DBT	DBT	DBT	DBT	DBT	0.371222606	72.694416
RTCA	RTCA	RTCA	RTCA	RTCA	0.140200351	60.1289079
CDC14A	CDC14A	CDC14A	CDC14A	CDC14A	-0.31294289	30.62466116
VCAM1	VCAM1	VCAM1	VCAM1	VCAM1	-0.31294289	30.62466116
EXTL2	EXTL2	EXTL2	EXTL2	EXTL2	0.183158721	62.82151678
SLC30A7	SLC30A7	SLC30A7	SLC30A7	SLC30A7	-0.222497554	35.66050238
S1PR1	S1PR1	S1PR1	S1PR1	S1PR1	-0.278885429	32.35347268
COL11A1	COL11A1	COL11A1	COL11A1	COL11A1	-1.334888903	5.090054816
AMY2B	AMY2B	AMY2B	AMY2B	AMY2B	1.08384391	92.16914644
VAV3	VAV3	VAV3	VAV3	VAV3	-0.290454145	31.68483826
SLC25A24	SLC25A24	SLC25A24	SLC25A24	SLC25A24	-0.087854083	44.19613276
HENMT1	HENMT1	HENMT1	HENMT1	HENMT1	-0.17360721	38.43141979
PRPF38B	PRPF38B	PRPF38B	PRPF38B	PRPF38B	-0.420405606	25.1490874
STXBP3	STXBP3	STXBP3	STXBP3	STXBP3	-0.396350797	26.47430878
AKNAD1	AKNAD1	AKNAD1	AKNAD1	AKNAD1	1.46518807	96.07854948
GPSM2	GPSM2	GPSM2	GPSM2	GPSM2	0.021952657	51.86434552
CLCC1	CLCC1	CLCC1	CLCC1	CLCC1	0.060379702	54.5388832
KIAA1324	KIAA1324	KIAA1324	KIAA1324	KIAA1324	-0.006173655	49.89458466
SARS	SARS	SARS	SARS	SARS	-0.337618009	29.34762966
CELSR2	CELSR2	CELSR2	CELSR2	CELSR2	-3.297207678	0.536112282
PSRC1	PSRC1	PSRC1	PSRC1	PSRC1	0.745957341	85.97674839
SORT1	SORT1	SORT1	SORT1	SORT1	-0.027719267	48.32841395
PSMA5	PSMA5	PSMA5	PSMA5	PSMA5	-0.057544689	46.31046323
CYB561D1	CYB561D1	CYB561D1	CYB561D1	CYB561D1	-0.034272193	47.84651527
GPR61	GPR61	GPR61	GPR61	GPR61	-1.092417841	7.758568761
GNAI3	GNAI3	GNAI3	GNAI3	GNAI3	-0.336055396	29.45003313
GNAT2	GNAT2	GNAT2	GNAT2	GNAT2	0.05069915	53.91241491
AMPD2	AMPD2	AMPD2	AMPD2	AMPD2	-1.791875715	2.560086742
GSTM4	GSTM4	GSTM4	GSTM4	GSTM4	1.111820327	92.53659418
GSTM2	GSTM2	GSTM2	GSTM2	GSTM2	0.048515287	53.77386904
GSTM5	GSTM5	GSTM5	GSTM5	GSTM5	0.814541962	87.62725137
GSTM3	GSTM3	GSTM3	GSTM3	GSTM3	0.089126772	56.59900006
EPS8L3	EPS8L3	EPS8L3	EPS8L3	EPS8L3	0.684875187	84.47683874
CSF1	CSF1	CSF1	CSF1	CSF1	0.376372286	72.94138907
AHCYL1	AHCYL1	AHCYL1	AHCYL1	AHCYL1	-0.61300589	17.87844106
ALX3	ALX3	ALX3	ALX3	ALX3	-0.254049237	33.87145353
UBL4B	UBL4B	UBL4B	UBL4B	UBL4B	0.815326532	87.66339377
KCNC4	KCNC4	KCNC4	KCNC4	KCNC4	-0.164708346	38.97355581
RBM15	RBM15	RBM15	RBM15	RBM15	-1.607518921	3.29498223
